switchname,interface,ip_address,description,mode,vlan,ospf_passive,pim_passive,ptp_enable,ptp_role_master
leaf1_b,Eth1/16/1,10.106.116.1,VideoIPath 1,routed,,TRUE,TRUE,,
leaf1_b,Eth1/16/2,10.106.116.5,VideoIPath 2,routed,,TRUE,TRUE,,
leaf1_b,Eth1/16/3,,,,,,,,
leaf1_b,Eth1/16/4,,,,,,,,
leaf1_b,Eth1/17,,,,,,,,
leaf1_b,Eth1/18,,,,,,,,
leaf1_b,Eth1/19,,,,,,,,
leaf1_b,Eth1/20,,,,,,,,
leaf1_b,Eth1/21,,,,,,,,
leaf1_b,Eth1/22,,,,,,,,
leaf1_b,Eth1/23,,,,,,,,
leaf1_b,Eth1/24,,,,,,,,
leaf1_b,Eth1/25,10.106.100.114,eMerge Port 29,routed,,TRUE,TRUE,,
leaf1_b,Eth1/26,10.106.100.118,eMerge Port 30,routed,,TRUE,TRUE,,
leaf1_b,Eth1/27,,,,,,,,
leaf1_b,Eth1/28,10.106.47.2,Spine Port 47,routed,,,TRUE,TRUE,
leaf1_b,Eth1/29,10.106.48.2,Spine Port 48,routed,,,TRUE,TRUE,
leaf1_b,Eth1/30,10.106.49.2,Spine Port 49,routed,,,TRUE,,
leaf1_b,Eth1/31,10.106.50.2,Spine Port 50,routed,,,TRUE,,
leaf1_b,Eth1/32,10.106.51.2,Spine Port 51,routed,,,TRUE,,
leaf1_b,Eth1/33,10.106.52.2,Spine Port 52,routed,,,TRUE,,
leaf1_b,Eth1/34,10.106.53.2,Spine Port 53,routed,,,TRUE,,
leaf1_b,Eth1/35,10.106.54.2,Spine Port 54,routed,,,TRUE,,
leaf1_b,Eth1/36,10.106.55.2,Spine Port 55,routed,,,TRUE,,
