switchname,interface,ip_address,description,mode,vlan,ospf_passive,pim_passive,ptp_enable,ptp_role_master
leaf1_m,Eth1/1/1,10.6.101.1,CCU 1,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/1/2,10.6.101.5,CCU 2,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/1/3,10.6.101.9,CCU 3,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/1/4,10.6.101.13,CCU 4,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/2/1,10.6.102.1,CCU 5,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/2/2,10.6.102.5,CCU 6,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/2/3,10.6.102.9,CCU 7,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/2/4,10.6.102.13,CCU 8,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/3/1,10.6.103.1,CCU 9,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/3/2,10.6.103.5,CCU 10,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/3/3,10.6.103.9,CCU 11,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/3/4,10.6.103.13,CCU 12,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/4/1,10.6.104.1,CCU 13,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/4/2,10.6.104.5,CCU 14,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/4/3,10.6.104.9,CCU 15,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/4/4,10.6.104.13,CCU 16,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/5/1,10.6.105.1,UCP-1,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/5/2,10.6.105.5,UCP-1,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/6/1,10.6.106.1,UCP-2,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/6/2,10.6.106.5,UCP-2,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/7/1,10.6.107.1,UCP-3,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/7/2,10.6.107.5,UCP-3,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/8/1,10.6.108.1,UCP-4,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/8/2,10.6.108.5,UCP-4,routed,,TRUE,TRUE,TRUE,TRUE
leaf1_m,Eth1/9/1,10.6.109.1,CXP 25G-1,routed,,TRUE,TRUE,,
leaf1_m,Eth1/9/2,10.6.109.5,CXP 25G-1,routed,,TRUE,TRUE,,
leaf1_m,Eth1/9/3,10.6.109.9,CXP 25G-1,routed,,TRUE,TRUE,,
leaf1_m,Eth1/9/4,10.6.109.13,CXP 25G-1,routed,,TRUE,TRUE,,
leaf1_m,Eth1/10/1,10.6.110.1,CXP 25G-1,routed,,TRUE,TRUE,,
leaf1_m,Eth1/10/2,10.6.110.5,CXP 25G-1,routed,,TRUE,TRUE,,
leaf1_m,Eth1/10/3,10.6.110.9,CXP 25G-1,routed,,TRUE,TRUE,,
leaf1_m,Eth1/10/4,10.6.110.13,CXP 25G-1,routed,,TRUE,TRUE,,
leaf1_m,Eth1/11/1,10.6.111.1,CXP 25G-2,routed,,TRUE,TRUE,,
leaf1_m,Eth1/11/2,10.6.111.5,CXP 25G-2,routed,,TRUE,TRUE,,
leaf1_m,Eth1/11/3,10.6.111.9,CXP 25G-2,routed,,TRUE,TRUE,,
leaf1_m,Eth1/11/4,10.6.111.13,CXP 25G-2,routed,,TRUE,TRUE,,
leaf1_m,Eth1/12/1,10.6.112.1,CXP 25G-2,routed,,TRUE,TRUE,,
