switchname,interface,ip_address,description,mode,vlan,ospf_passive,pim_passive,ptp_enable,ptp_role_master
leaf2_m,Eth1/5/3,10.6.205.9,CCU 35,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/5/4,10.6.205.13,CCU 36,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/6/1,10.6.206.1,PWS4500-1#1,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/6/2,10.6.206.5,PWS4500-1#2,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/6/3,10.6.206.9,PWS4500-1#3,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/6/4,10.6.206.13,PWS4500-1#4,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/7/1,10.6.207.1,PWS4500-2#1,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/7/2,10.6.207.5,PWS4500-2#2,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/7/3,10.6.207.9,PWS4500-2#3,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/7/4,10.6.207.13,PWS4500-2#4,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/8/1,10.6.208.1,PWS4500-3#1,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/8/2,10.6.208.5,PWS4500-3#2,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/8/3,10.6.208.9,PWS4500-3#3,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/8/4,10.6.208.13,PWS4500-3#4,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/9/1,10.6.209.1,HorizoN 1,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/9/2,10.6.209.5,HorizoN 1,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/9/3,10.6.209.9,HorizoN 1,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/9/4,10.6.209.13,HorizoN 1,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/10/1,10.6.210.1,HorizoN 2,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/10/2,10.6.210.5,HorizoN 2,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/10/3,10.6.210.9,HorizoN 2,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/10/4,10.6.210.13,HorizoN 2,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/11/1,10.6.211.1,HorizoN 3,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/11/2,10.6.211.5,HorizoN 3,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/11/3,10.6.211.9,HorizoN 3,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/11/4,10.6.211.13,HorizoN 3,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/12/1,10.6.212.1,HorizoN 4,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/12/2,10.6.212.5,HorizoN 4,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/12/3,10.6.212.9,HorizoN 4,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/12/4,10.6.212.13,HorizoN 4,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_m,Eth1/13/1,10.6.213.1,VideoIPath 3,routed,,TRUE,TRUE,,
leaf2_m,Eth1/13/2,10.6.213.5,Firewall,routed,,TRUE,TRUE,,
leaf2_m,Eth1/13/3,10.6.213.9,,routed,,TRUE,TRUE,,
