switchname,interface,ip_address,description,mode,vlan,ospf_passive,pim_passive,ptp_enable,ptp_role_master
leaf3_m,Eth1/1,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/2,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/3,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/4,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/5,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/6,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/7,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/8,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/9,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/10,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/11,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/12,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/13,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/14,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/15,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/16,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/17,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/18,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/19,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/20,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/21,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/22,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/23,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/24,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/25,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/26,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/27,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/28,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/29,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/30,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/31,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/32,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/33,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/34,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/35,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/36,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/37,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/38,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/39,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/40,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/41,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/42,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/43,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/44,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/45,,,access,200,,,TRUE,TRUE
leaf3_m,Eth1/46,,,,,,,TRUE,TRUE
leaf3_m,Eth1/47,,,,,,,,
leaf3_m,Eth1/48,,,,,,,,
leaf3_m,Eth1/49,,,,,,,,
leaf3_m,Eth1/50,,,,,,,,
leaf3_m,Eth1/51,10.6.64.2,Spine Port 64,routed,,,,TRUE,
leaf3_m,Eth1/52,,,,,,,,
