switchname,interface,ip_address,description,mode,vlan,ospf_passive,pim_passive,ptp_enable,ptp_role_master
leaf2_b,Eth1/8/1,10.106.208.1,PWS4500-3#1,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/8/2,10.106.208.5,PWS4500-3#2,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/8/3,10.106.208.9,PWS4500-3#3,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/8/4,10.106.208.13,PWS4500-3#4,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/9/1,10.106.209.1,HorizoN 1,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/9/2,10.106.209.5,HorizoN 1,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/9/3,10.106.209.9,HorizoN 1,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/9/4,10.106.209.13,HorizoN 1,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/10/1,10.106.210.1,HorizoN 2,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/10/2,10.106.210.5,HorizoN 2,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/10/3,10.106.210.9,HorizoN 2,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/10/4,10.106.210.13,HorizoN 2,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/11/1,10.106.211.1,HorizoN 3,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/11/2,10.106.211.5,HorizoN 3,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/11/3,10.106.211.9,HorizoN 3,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/11/4,10.106.211.13,HorizoN 3,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/12/1,10.106.212.1,HorizoN 4,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/12/2,10.106.212.5,HorizoN 4,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/12/3,10.106.212.9,HorizoN 4,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/12/4,10.106.212.13,HorizoN 4,routed,,TRUE,TRUE,TRUE,TRUE
leaf2_b,Eth1/13/1,10.106.213.1,VideoIPath 3,routed,,TRUE,TRUE,,
leaf2_b,Eth1/13/2,10.106.213.5,Firewall,routed,,TRUE,TRUE,,
leaf2_b,Eth1/13/3,10.106.213.9,,routed,,TRUE,TRUE,,
leaf2_b,Eth1/13/4,10.106.213.13,,routed,,TRUE,TRUE,,
leaf2_b,Eth1/14,,,,,,,,
leaf2_b,Eth1/15,,,,,,,,
leaf2_b,Eth1/16,,,,,,,,
leaf2_b,Eth1/17,,,,,,,,
leaf2_b,Eth1/18,,,,,,,,
leaf2_b,Eth1/19,,,,,,,,
leaf2_b,Eth1/20,,,,,,,,
leaf2_b,Eth1/21,,,,,,,,
leaf2_b,Eth1/22,,,,,,,,
leaf2_b,Eth1/23,,,,,,,,
leaf2_b,Eth1/24,,,,,,,,
leaf2_b,Eth1/25,,,,,,,,
leaf2_b,Eth1/26,,,,,,,,
leaf2_b,Eth1/27,10.106.100.122,eMerge Port 31,routed,,TRUE,TRUE,,
leaf2_b,Eth1/28,10.106.100.126,eMerge Port 32,routed,,TRUE,TRUE,,
leaf2_b,Eth1/29,10.106.56.2,Spine Port 56,routed,,,TRUE,TRUE,
leaf2_b,Eth1/30,10.106.57.2,Spine Port 57,routed,,,TRUE,TRUE,
leaf2_b,Eth1/31,10.106.58.2,Spine Port 58,routed,,,TRUE,,
leaf2_b,Eth1/32,10.106.59.2,Spine Port 59,routed,,,TRUE,,
leaf2_b,Eth1/33,10.106.60.2,Spine Port 60,routed,,,TRUE,,
leaf2_b,Eth1/34,10.106.61.2,Spine Port 61,routed,,,TRUE,,
leaf2_b,Eth1/35,10.106.62.2,Spine Port 62,routed,,,TRUE,,
leaf2_b,Eth1/36,10.106.63.2,Spine Port 63,routed,,,TRUE,,
